-0.14000  3.5994000000 9
-0.13000  3.6017520000 9
-0.12000  3.6043310000 9
-0.11000  3.6071310000 9
-0.10000  3.6101470000 9
-0.09000  3.6133690000 9
-0.08000  3.6167900000 9
-0.07000  3.6203990000 9
-0.06000  3.6241860000 9
-0.05000  3.6281380000 9
-0.04000  3.6322460000 9
-0.03000  3.6364970000 9
-0.02000  3.6408810000 9
-0.01000  3.6453850000 9
 0.00000  3.6500000000 9
 0.01000  3.6547150000 9
 0.02000  3.6595200000 9
 0.03000  3.6644070000 9
 0.04000  3.6693650000 9
 0.05000  3.6743870000 9
 0.06000  3.6794650000 9
 0.07000  3.6845920000 9
 0.08000  3.6897590000 9
 0.09000  3.6949620000 9
 0.10000  3.7001940000 9
 0.11000  3.7054490000 9
 0.12000  3.7107210000 9
 0.13000  3.7160060000 9
 0.14000  3.7212990000 9
 0.15000  3.7265950000 9
 0.16000  3.7318890000 9
 0.17000  3.7371780000 9
 0.18000  3.7424580000 9
 0.19000  3.7477240000 9
 0.20000  3.7529740000 9
 0.21000  3.7582030000 9
 0.22000  3.7634080000 9
 0.23000  3.7685870000 9
 0.24000  3.7737350000 9
 0.25000  3.7788490000 9
 0.26000  3.7839270000 9
 0.27000  3.7889650000 9
 0.28000  3.7939610000 9
 0.29000  3.7989100000 9
 0.30000  3.8038110000 9

-0.30000  3.7810830000 10
-0.29000  3.7771060000 10
-0.28000  3.7730940000 10
-0.27000  3.7690500000 10
-0.26000  3.7649720000 10
-0.25000  3.7608630000 10
-0.24000  3.7567230000 10
-0.23000  3.7525520000 10
-0.22000  3.7483520000 10
-0.21000  3.7441230000 10
-0.20000  3.7398660000 10
-0.19000  3.7355820000 10
-0.18000  3.7312710000 10
-0.17000  3.7269350000 10
-0.16000  3.7225730000 10
-0.15000  3.7181870000 10
-0.14000  3.7137780000 10
-0.13000  3.7093460000 10
-0.12000  3.7048920000 10
-0.11000  3.7004170000 10
-0.10000  3.6959210000 10
-0.09000  3.6914060000 10
-0.08000  3.6868720000 10
-0.07000  3.6823190000 10
-0.06000  3.6777490000 10
-0.05000  3.6731620000 10
-0.04000  3.6685590000 10
-0.03000  3.6639400000 10
-0.02000  3.6593070000 10
-0.01000  3.6546600000 10
 0.00000  3.6500000000 10
 0.01000  3.6453270000 10
 0.02000  3.6406430000 10
 0.03000  3.6359470000 10
 0.04000  3.6312410000 10
 0.05000  3.6265250000 10
 0.06000  3.6218000000 10
 0.07000  3.6170670000 10
 0.08000  3.6123270000 10
 0.09000  3.6075810000 10
 0.10000  3.6028280000 10
 0.11000  3.5980710000 10
 0.12000  3.5933090000 10
 0.13000  3.5885450000 10
 0.14000  3.5837790000 10
 0.15000  3.5790120000 10
 0.16000  3.5742450000 10
 0.17000  3.5694790000 10
 0.18000  3.5647160000 10
 0.19000  3.5599580000 10
 0.20000  3.5552060000 10
 0.21000  3.5504620000 10
 0.22000  3.5457280000 10
 0.23000  3.5410060000 10
 0.24000  3.5363000000 10
 0.25000  3.5316120000 10
 0.26000  3.5269460000 10
 0.27000  3.5223060000 10
 0.28000  3.5176980000 10
 0.29000  3.5131270000 10
 0.30000  3.5086010000 10

-0.30000  3.8389750000 11
-0.29000  3.8488810000 11
-0.28000  3.8588060000 11
-0.27000  3.8687510000 11
-0.26000  3.8787130000 11
-0.25000  3.8886910000 11
-0.24000  3.8986850000 11
-0.23000  3.9086930000 11
-0.22000  3.9187130000 11
-0.21000  3.9287450000 11
-0.20000  3.9387870000 11
-0.19000  3.9488380000 11
-0.18000  3.9588970000 11
-0.17000  3.9689620000 11
-0.16000  3.9790330000 11
-0.15000  3.9891090000 11
-0.14000  3.9991870000 11
-0.13000  4.0092680000 11
-0.12000  4.0193500000 11
-0.11000  4.0294310000 11
-0.10000  4.0395120000 11
-0.09000  4.0495900000 11
-0.08000  4.0596640000 11
-0.07000  4.0697340000 11
-0.06000  4.0797980000 11
-0.05000  4.0898550000 11
-0.04000  4.0999040000 11
-0.03000  4.1099440000 11
-0.02000  4.1199750000 11
-0.01000  4.1299930000 11
 0.00000  4.1400000000 11
 0.01000  4.1499930000 11
 0.02000  4.1599720000 11
 0.03000  4.1699340000 11
 0.04000  4.1798810000 11
 0.05000  4.1898090000 11
 0.06000  4.1997180000 11
 0.07000  4.2096070000 11
 0.08000  4.2194750000 11
 0.09000  4.2293200000 11
 0.10000  4.2391410000 11
 0.11000  4.2489380000 11
 0.12000  4.2587090000 11
 0.13000  4.2684530000 11
 0.14000  4.2781680000 11
 0.15000  4.2878540000 11
 0.16000  4.2975090000 11
 0.17000  4.3071320000 11
 0.18000  4.3167210000 11
 0.19000  4.3262760000 11
 0.20000  4.3357950000 11
 0.21000  4.3452770000 11
 0.22000  4.3547200000 11
 0.23000  4.3641230000 11
 0.24000  4.3734850000 11
 0.25000  4.3828040000 11
 0.26000  4.3920780000 11
 0.27000  4.4013070000 11
 0.28000  4.4104890000 11
 0.29000  4.4196220000 11
 0.30000  4.4287040000 11

-0.30000  4.0383730000 12
-0.29000  4.0444100000 12
-0.28000  4.0502500000 12
-0.27000  4.0558860000 12
-0.26000  4.0613160000 12
-0.25000  4.0665360000 12
-0.24000  4.0715460000 12
-0.23000  4.0763440000 12
-0.22000  4.0809330000 12
-0.21000  4.0853150000 12
-0.20000  4.0894920000 12
-0.19000  4.0934700000 12
-0.18000  4.0972530000 12
-0.17000  4.1008470000 12
-0.16000  4.1042590000 12
-0.15000  4.1074960000 12
-0.14000  4.1105650000 12
-0.13000  4.1134740000 12
-0.12000  4.1162300000 12
-0.11000  4.1188410000 12
-0.10000  4.1213140000 12
-0.09000  4.1236580000 12
-0.08000  4.1258790000 12
-0.07000  4.1279840000 12
-0.06000  4.1299800000 12
-0.05000  4.1318730000 12
-0.04000  4.1336690000 12
-0.03000  4.1353750000 12
-0.02000  4.1369950000 12
-0.01000  4.1385350000 12
 0.00000  4.1400000000 12
 0.01000  4.1413940000 12
 0.02000  4.1427210000 12
 0.03000  4.1439860000 12
 0.04000  4.1451930000 12
 0.05000  4.1463440000 12
 0.06000  4.1474430000 12
 0.07000  4.1484940000 12
 0.08000  4.1494990000 12
 0.09000  4.1504610000 12
 0.10000  4.1513830000 12
 0.11000  4.1522680000 12
 0.12000  4.1531160000 12
 0.13000  4.1539320000 12
 0.14000  4.1547170000 12
 0.15000  4.1554730000 12
 0.16000  4.1562010000 12
 0.17000  4.1569050000 12
 0.18000  4.1575860000 12
 0.19000  4.1582450000 12
 0.20000  4.1588850000 12
 0.21000  4.1595060000 12
 0.22000  4.1601120000 12
 0.23000  4.1607030000 12
 0.24000  4.1612810000 12
 0.25000  4.1618480000 12
 0.26000  4.1624060000 12
 0.27000  4.1629560000 12
 0.28000  4.1635010000 12
 0.29000  4.1640410000 12
 0.30000  4.1645790000 12

-0.30000  4.2234930000 13
-0.29000  4.2297010000 13
-0.28000  4.2342980000 13
-0.27000  4.2335520000 13
-0.26000  4.2311990000 13
